Pays,Evolution_pop,Ratio_Animal,DA_pro,DA_cal,Valeur_PIB,cluster
Afghanistan,3.2344071957344345,0.2097854077253219,58.25,2089.0,1848.7,3
Afrique du Sud,1.436139849510301,0.4263947491795594,85.32,3022.0,12339.7,5
Albanie,0.06156264281539634,0.5332974331358823,111.42,3193.0,10492.8,9
Algérie,2.0208139261978184,0.27174858634188775,91.96,3296.0,13253.6,4
Allemagne,0.2762820598879244,0.6051776749680086,101.59,3498.0,42914.5,8
Angola,3.54686491522151,0.32134125043660494,57.26,2473.0,6188.0,2
Antigua-et-Barbuda,1.0743784756297023,0.6788914108230797,83.71,2417.0,18823.8,7
Arabie saoudite,2.7792972566960135,0.4357743097238896,91.63,3256.0,49537.6,13
Argentine,1.0380601282207242,0.6522459319886973,102.63,3229.0,19482.2,10
Arménie,0.43929360510024335,0.48034207019102626,90.03999999999999,2928.0,7727.9,6
Australie,1.399260472531972,0.6743814093517735,106.29,3275.0,43118.1,8
Autriche,0.6462976093353736,0.5918463421523397,106.21000000000001,3768.0,44301.1,8
Azerbaïdjan,1.2623793418063771,0.32292002147074605,93.15,3118.0,16593.2,5
Bahamas,1.3065952709150828,0.6514661740937427,86.62,2671.0,28871.4,7
Bangladesh,1.1639093496802704,0.1776504297994269,55.84,2450.0,2835.8,1
Barbade,0.3100786169644153,0.5725294650951949,88.24000000000001,2937.0,16409.9,6
Belgique,0.6066352257882328,0.5835341365461848,99.6,3733.0,40928.1,8
Belize,2.1828630865736343,0.39516789516789513,73.26,2751.0,7856.4,5
Bermudes,-0.6197129247582482,0.6638766519823789,90.8,2671.0,50669.3,6
Bolivie (État plurinational de),1.5566431775193217,0.45084078169974245,66.01,2257.0,6090.7,1
Bosnie-Herzégovine,-1.0817478728843049,0.33198734039070177,91.63,3154.0,10284.8,6
Botswana,1.8823522779112307,0.40718470551958064,64.86,2326.0,15568.3,1
Brunéi Darussalam,1.4759092567214505,0.5668557970238733,93.41,2985.0,79070.2,13
Brésil,0.8915138559901092,0.5536372249710496,94.99000000000001,3263.0,15432.9,10
Bulgarie,-0.6054933423394894,0.49449233716475094,83.52,2829.0,15997.4,6
Burkina Faso,3.0062808375676218,0.13945578231292519,79.38,2720.0,1562.3,2
Bélarus,0.0627604336451627,0.5858026007247922,93.82,3249.0,17656.1,9
Bénin,2.821354215238797,0.2211702623001707,64.43,2619.0,1934.6,2
Cabo Verde,1.2172518678884687,0.3792260692464358,73.65,2610.0,5963.9,5
Cambodge,1.6514882951737277,0.291044776119403,65.66,2476.0,2964.2,1
Cameroun,2.697620466468089,0.16721452050878946,69.97,2672.0,3100.2,2
Canada,0.9905774972099882,0.5212005717008099,104.95,3494.0,42339.4,8
Chili,0.863632568595673,0.5182005494505494,87.36000000000001,2979.0,21998.3,6
Chine - RAS de Hong-Kong,0.6433733399304561,0.7308406874129122,129.18,3290.0,51732.4,8
Chine - RAS de Macao,2.2471480842802096,0.6443108720868923,94.83,2915.0,135319.0,14
"Chine, continentale",0.5291590916487837,0.4007345439706182,98.02000000000001,3109.0,11951.2,6
Chypre,0.7354689587165267,0.5804664347377915,77.61,2649.0,29879.8,7
Colombie,0.9482503858385947,0.5200372786579683,64.38,2804.0,12296.3,7
Congo,2.5194295651822527,0.43061737952390167,51.67,2208.0,5317.1,1
Costa Rica,1.0873276628999526,0.5459632294164668,75.06,2847.0,14035.3,7
Croatie,-0.47391115913159526,0.5688203912270302,84.35,3059.0,20271.3,6
Côte d'Ivoire,2.5722934282277334,0.23363527602119294,58.510000000000005,2799.0,2879.9,2
Danemark,0.46289193139830304,0.6411975388006245,108.88999999999999,3367.0,44564.5,8
Dominique,0.5220994475138121,0.513967213114754,76.25,2930.0,9871.7,7
El Salvador,0.48653151440214454,0.3511821974965229,71.9,2577.0,6789.9,5
Espagne,-0.3763066557256063,0.6211861174675821,104.88,3175.0,30678.9,9
Estonie,-0.24221374738944884,0.5124157844080847,103.9,3253.0,26282.9,9
Eswatini,1.8593643822515105,0.30005120327700974,58.589999999999996,2329.0,7865.4,1
Fidji,0.6923833286916785,0.42622282608695655,73.6,2944.0,7839.9,7
Finlande,0.42491505745485797,0.6203703703703703,117.72,3368.0,39428.3,8
France,0.423531526175167,0.6274314665701619,110.53,3482.0,37350.3,8
Fédération de Russie,0.11431139723238394,0.5462854920264488,102.84,3360.0,25551.1,9
Gabon,3.215921015632781,0.49671014660048485,86.63,2829.0,16503.1,5
Gambie,3.147810709698807,0.22911927201819954,61.54,2629.0,1584.8,2
Ghana,2.3392777970573495,0.2666460204397646,64.58,3016.0,3807.3,2
Grenade,0.4258372753968167,0.6010984246278365,69.19,2447.0,11262.7,7
Grèce,-0.49971293049384785,0.544485294117647,108.80000000000001,3400.0,23746.1,9
Guatemala,2.0988747653757507,0.27977404675976775,63.73,2419.0,7005.0,1
Guinée,2.330787670386835,0.17772215269086358,55.93,2566.0,1711.7,3
Guinée-Bissau,2.6315273015976857,0.20186194368755678,44.04,2293.0,1421.3,3
Guyana,0.7007166780330862,0.4537106918238994,79.5,2764.0,6696.8,7
Géorgie,-1.3239048817200696,0.35783461633970703,80.53999999999999,2904.0,8254.0,6
Haïti,1.3486677628047228,0.2126545149800964,47.73,2091.0,1629.4,3
Honduras,1.74907323293429,0.35758323057953145,64.88,2641.0,4177.6,1
Hongrie,-0.2881820076354718,0.5339928970065956,78.84,3036.0,23119.0,6
Inde,1.196428841416552,0.19900414937759336,60.25,2458.0,5073.6,1
Indonésie,1.2295461553666247,0.2847724714584339,62.19,2776.0,9643.3,1
Iran (République islamique d'),1.2600286194745287,0.2545829514207149,87.28,3095.0,16383.3,5
Iraq,3.3141404081586874,0.2071349992142071,63.63,2545.0,15223.6,2
Irlande,0.09355042442629492,0.5892191618943732,110.00999999999999,3599.0,45470.2,8
Islande,0.43727008919698257,0.7224801557585742,133.54000000000002,3379.0,41259.8,8
Israël,1.5371740949648538,0.5655091689426454,128.15,3610.0,31250.8,8
Italie,-0.13798350874840787,0.5367741935483871,108.5,3578.0,34219.8,9
Jamaïque,0.3604732017278705,0.48213589710276733,76.97,2745.0,8025.5,7
Japon,-0.11693834104936587,0.5523766100535734,87.73,2727.0,37148.6,6
Jordanie,4.704863537777068,0.34150018846588764,79.59,3100.0,8756.7,11
Kazakhstan,1.6302540259612777,0.591847318742869,96.41,3264.0,22972.4,10
Kenya,2.671169236097768,0.2571151358344114,61.839999999999996,2206.0,2683.0,1
Kirghizistan,1.5967815943114028,0.4114607797087835,85.16,2817.0,3120.5,5
Kiribati,1.7717786889021974,0.48138551752352376,73.33,3040.0,1830.9,5
Koweït,5.1152114073396815,0.4950110864745011,108.24,3501.0,74084.5,12
Lesotho,1.3424257837940718,0.17383025027203483,73.52,2529.0,2631.0,1
Lettonie,-1.2083101396326006,0.5577196629828208,91.39,3175.0,21563.7,6
Liban,6.20111210890161,0.3678333960607201,79.71000000000001,3065.0,14400.6,11
Libéria,2.4367454286234884,0.21614445034519386,37.66,2204.0,818.6,3
Lituanie,-1.183985501782615,0.6144762210796916,124.47999999999999,3417.0,25143.9,9
Luxembourg,2.128612629217526,0.6332982086406744,113.88,3539.0,90656.4,13
Macédoine du Nord,0.0845963774829109,0.41077569736339326,78.50999999999999,2949.0,11877.8,7
Madagascar,2.7379077681924064,0.21469895007499462,46.67,2052.0,1364.3,3
Malaisie,1.7547980046537737,0.5564407402867998,81.59,2916.0,23224.2,7
Malawi,2.9660773352616103,0.12068164213787762,64.55,2367.0,1062.2,3
Maldives,2.7302672138944035,0.7021154945683248,122.42999999999999,2732.0,13148.7,10
Mali,2.9435207986882728,0.27805164319248826,85.2,2891.0,1793.7,5
Malte,0.5490896547161698,0.5594925237879474,110.35,3378.0,30050.1,8
Maroc,1.4584371588760887,0.27203104258143573,97.93,3402.0,6995.9,4
Maurice,0.15366966995674305,0.4506054090754781,88.37,3065.0,17628.8,6
Mauritanie,2.9839059138354407,0.3986112745674944,84.97,2875.0,3565.5,5
Mexique,1.3756213899936598,0.4639963482825516,87.63,3072.0,16385.1,5
Mongolie,1.9096185677285487,0.6006931550934522,80.78999999999999,2510.0,10720.1,7
Monténégro,0.09249012109827234,0.5631301864905862,112.07,3491.0,14551.4,9
Mozambique,2.9431756502480795,0.13894967177242887,45.7,2283.0,1034.6,3
Myanmar,0.9251752967198306,0.4081113801452785,82.6,2571.0,4457.9,5
Nicaragua,1.1478793160892988,0.3045101982189026,69.62,2638.0,4618.7,1
Niger,3.917466769909976,0.1819866567828021,80.94,2547.0,874.1,2
Nigéria,2.6952323725598597,0.15448557089084064,63.76,2700.0,5479.1,2
Norvège,1.2450018228906614,0.5950405770964833,110.89999999999999,3486.0,62896.3,13
Nouvelle-Zélande,1.0884937710388893,0.592348427537015,92.53,3137.0,33782.1,10
Népal,1.2075299505347628,0.16572668112798264,69.15,2673.0,2164.0,1
Oman,6.720875036137865,0.5177337110481586,88.25,3143.0,41924.8,12
Ouganda,3.4074168832141782,0.23519362186788156,52.68,2129.0,1610.8,3
Ouzbékistan,1.5985617993817,0.3498741459906508,83.43,2760.0,5067.4,5
Pakistan,2.109739283619812,0.41631032376298105,65.48,2440.0,4464.1,1
Panama,1.70703787089725,0.5242290748898679,79.44999999999999,2733.0,19377.9,7
Paraguay,1.3431409243180208,0.48338283128270393,70.71000000000001,2589.0,8227.2,7
Pays-Bas,0.29488056763959974,0.6781526895193771,111.72999999999999,3228.0,45191.5,8
Philippines,1.6462225944180096,0.41471962616822433,59.92,2570.0,6306.7,1
Pologne,-0.04278578672401231,0.5249827535232089,101.47,3451.0,23555.5,9
Portugal,-0.5367377447287976,0.6068368359339767,110.87,3477.0,25654.6,9
Pérou,1.3336445316707124,0.36091831286705817,74.92,2700.0,11430.3,5
Roumanie,-0.4757028295660383,0.45821605357662815,103.03,3359.0,19018.9,9
Royaume-Uni,0.5794702473394912,0.5646739657009979,103.21000000000001,3424.0,37398.8,8
Rwanda,2.5323287499646243,0.09839816933638443,56.81,2228.0,1552.8,3
République centrafricaine,0.34978252767491186,0.37182548296071194,46.07,1879.0,593.1,1
République de Corée,0.43117653641248954,0.47952182952182953,96.2,3334.0,32548.7,9
